LevelSeqName,IsCutsceneSequence,Description
am0100_00,true,Intro - (2D) Chai walking through Vandelay campus
am0200_00,true,Track 2 - Rail explodes while Chai is riding it
am0300_00,true,Track 3 - Chai gets punched really hard
am1000_00,true,Track 10 - Chai bounces off the blimp
am1400_00,true,Credits
cs0102_00,true,Intro - (3D) Chai gets Armstrong pass
cs0104_00,true,Track 1 - Chai wakes up after medical procedure
cs0106_00,true,Track 1 - Chai gets his clothes back and goes outside
cs0110_00,true,Track 1 - Chai inspects himself after first fight
cs0115_00,true,Track 1 - After light and heavy attack tutorial
cs0120_00,true,Track 1 - Find 808 for the first time
cs0125_00,true,Track 1 - Meet 808 and start Beat Hit tutorial
cs0135_00,true,Track 1 - Peppermint tells Chai how to get out through the QA Center
cs0140_00,true,Track 1 - Chai falls off of tower into 2D section
cs0150_00,true,Track 1 - First fight with ranged enemies
cs0160_00,true,Track 1 - Meet Rekka and start QA-1MIL boss fight
cs0165_00,true,Track 1 - QA-1MIL activates his rocket launchers
cs0170_00,true,Track 1 - QA-1MIL gets serious
cs0180_00,true,Track 1 - QA-1MIL defeated
cs0185_00,true,Track 1 - Chai flies into and smashes Days Without Defects sign
cs0205_00,true,Track 1 - 808 leads Chai to the hideout
cs0210_00,true,Track 2 - Chai and 808 emerge from underground
cs0220_00,true,Track 2 - Chai magnet grabs a high speed rail for the first time
cs0225_00,true,Track 2 - Chai breaks through a glass window after flying off a rail
cs0230_00,true,Track 2 - Enter Rekka's office
cs0235_00,true,Track 2 - Rekka phase 2
cs0240_00,true,Track 2 - Rekka phase 3
cs0245_00,true,Track 2 - Rekka defeated
cs0250_00,true,Track 2 - Vandelay meeting after Rekka is gone
cs0310_00,true,Track 3 - Chai and Zanzo meet in person for the first time
cs0315_00,true,Track 3 - Chai attempts to reason with the enemy
cs0320_00,true,Track 3 - Chai falls through the ceiling of Macaron's lab
cs0415_00,true,Track 4 - Chai returns to the Z-Shielding enemy
cs0420_00,true,Track 4 - Final AR simulation destroyed and Zanzo defunded
cs0425_00,true,Track 4 - Kale interrupts Peppermint looking at info on SPECTRA
cs0430_00,true,Track 4 - Chai escapes the robots but then gets captured by Korsica
cs0501_00,true,Track 5 - Chai wakes up in Korsica's cell
cs0503_00,true,Track 5 - 808 helps Chai break out of the cell
cs0505_00,true,Track 5 - Chai stubs his toe
cs0510_00,true,Track 5 - TEC-78 thinks Chai is here to fix the security system
cs0550_00,true,Track 6 - Chai gets ambushed at the lift
cs0551_00,true,Track 6 - Enemies catch up to Chai on the lift
cs0552_00,true,Track 6 - ?
